2025-05-12 08:27:11 | INFO | Object Vorgang destroyed
2025-05-12 08:27:11 | INFO | No ERP connection to close.
2025-05-12 08:29:04 | INFO | ERPConnectionEntity initialized with mandant %s
2025-05-12 08:29:06 | INFO | Try updating order 74742 with payment status: 10 and order status: 2
2025-05-12 08:29:09 | INFO | BpNT.Application dispatched successfully
2025-05-12 08:29:09 | INFO | Mandant set to %s
2025-05-12 08:29:10 | INFO | ERP connected: mandant=%s, user=%s
2025-05-12 08:29:11 | INFO | Object Adressen destroyed
2025-05-12 08:29:11 | INFO | Object Adressen destroyed
2025-05-12 08:29:11 | INFO | Object Anschriften destroyed
2025-05-12 08:29:11 | INFO | ERPOrderController initialized, last_sync_date=%s
2025-05-12 08:29:11 | INFO | Retrieving positions for order %s
2025-05-12 08:29:11 | INFO | Retrieved %d positions for order %s
2025-05-12 08:29:11 | INFO | looking for
2025-05-12 08:29:11 | INFO | 224413 Kombi-Mappen 170 g/m² mit Klarsichthülle
2025-05-12 08:29:11 | INFO | Add Position: 
2025-05-12 08:29:11 | INFO | Object Artikel destroyed
2025-05-12 08:29:11 | INFO | 581004 Quick-Tabs orange
2025-05-12 08:29:11 | INFO | Add Position: 
2025-05-12 08:29:11 | INFO | Object Artikel destroyed
2025-05-12 08:29:12 | INFO | ERP connection closed successfully.
2025-05-12 08:29:12 | INFO | Object Vorgang destroyed
2025-05-12 08:29:12 | INFO | No ERP connection to close.
